Model,Config,Feature,Category,Mean_abs_SHAP,Rank_Overall,Rank_Cat,Share_PCT
SVR,Macro_only,rbi_repo_rate_yoy_diff,Macroeconomic,0.006848071878003969,4,4,3.529948440514616
XGBoost,Climate_only,solar_irradiance_kwm2_anom,Climate,0.11897160857915878,1,1,18.729203807501662
XGBoost,Climate_only,wind_speed_10m_ms,Climate,0.11096861213445663,2,2,17.46932547792686
XGBoost,Climate_only,rainfall_total_mm_anom,Climate,0.07747675478458405,3,3,12.196842154477695
XGBoost,Climate_only,wind_speed_10m_ms_anom,Climate,0.07217362523078918,4,4,11.361992601573451
XGBoost,Climate_only,temp_mean_celsius_anom,Climate,0.04559691622853279,5,5,7.1781322219372905
XGBoost,Climate_only,temp_mean_celsius,Climate,0.03550295531749725,6,6,5.589082083122428
XGBoost,Climate_only,solar_irradiance_kwm2,Climate,0.03363773971796036,7,7,5.295448975813349
XGBoost,Climate_only,surface_soil_wetness_index,Climate,0.031918756663799286,8,8,5.024836647817438
XGBoost,Climate_only,relative_humidity_2m_pct_anom,Climate,0.03132319822907448,9,9,4.931080369017391
XGBoost,Climate_only,relative_humidity_2m_pct,Climate,0.024715330451726913,10,10,3.8908313229382956
XGBoost,Climate_only,rainfall_total_mm,Climate,0.019747808575630188,11,11,3.1088150860666635
XGBoost,Climate_only,rainfall_rate_mm_per_day,Climate,0.013976755551993847,12,12,2.200302294196097
XGBoost,Climate_only,surface_soil_wetness_index_anom,Climate,0.01218436285853386,13,13,1.9181333930624052
XGBoost,Climate_only,rainfall_rate_mm_per_day_anom,Climate,0.007025362923741341,14,14,1.105973564548972
XGBoost,Commodity_only,wpi_primary_food_articles_yoy,Commodity,0.4711576998233795,1,1,36.46185578526831
XGBoost,Commodity_only,wpi_mustard_oil_yoy,Commodity,0.08525270968675613,2,2,6.5975192744745685
XGBoost,Commodity_only,wpi_milk_yoy,Commodity,0.06916716694831848,3,3,5.352694580372052
XGBoost,Commodity_only,wpi_manufactured_food_yoy,Commodity,0.0666300356388092,4,4,5.1563515810953895
XGBoost,Commodity_only,wpi_brinjal_yoy,Commodity,0.06601278483867645,5,5,5.1085839023198565
XGBoost,Commodity_only,crude_oil_brent_usd_yoy,Commodity,0.05788685381412506,6,6,4.479736012856737
XGBoost,Commodity_only,wpi_arhar_tur_yoy,Commodity,0.05478663742542267,7,7,4.23981710054698
XGBoost,Commodity_only,wpi_cabbage_yoy,Commodity,0.0491512231528759,8,8,3.8037048125107886
XGBoost,Commodity_only,wpi_moong_yoy,Commodity,0.042526889592409134,9,9,3.291062240722627
XGBoost,Commodity_only,wpi_onion_yoy,Commodity,0.04168105125427246,10,10,3.2256046762715913
XGBoost,Commodity_only,wpi_tomato_yoy,Commodity,0.04142415523529053,11,11,3.2057240596554557
XGBoost,Commodity_only,global_fertilizer_index_yoy,Commodity,0.04090336337685585,12,12,3.1654211257471156
XGBoost,Commodity_only,wpi_garlic_yoy,Commodity,0.038058746606111526,13,13,2.9452825044360003
